what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201003111758,"org.eclipse.wst.xsd.ui",1271085007111
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201003082046,"org.eclipse.wst.xml.ui",1271085007111
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1271085007112
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201003092125,"org.eclipse.wst.sse.ui",1271085007112
stopped,bundle,org.eclipse.search,3.6.0.v20100308-1800,"org.eclipse.search",1271085007112
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100308-1800,"org.eclipse.ltk.ui.refactoring",1271085007112
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100311-1214,"org.eclipse.team.cvs.ui",1271085007112
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100310-0800,"org.eclipse.team.ui",1271085007113
stopped,bundle,org.eclipse.compare,3.5.100.I20100305-0800,"org.eclipse.compare",1271085007159
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100201,"org.eclipse.ui.externaltools",1271085007159
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100305,"org.eclipse.debug.ui",1271085007220
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1272380189346
started,bundle,org.eclipse.osgi,3.6.0.v20100301,"org.eclipse.osgi",1272380189347
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100304,"org.eclipse.equinox.simpleconfigurator",1272380189348
started,bundle,com.ibm.icu,4.2.1.v20100212,"com.ibm.icu",1272380189348
started,bundle,org.eclipse.compare.core,3.5.100.I20100209-0800,"org.eclipse.compare.core",1272380189349
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100301,"org.eclipse.core.contenttype",1272380189349
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100310-1300,"org.eclipse.core.databinding.observable",1272380189349
started,bundle,org.eclipse.core.expressions,3.4.200.v20100222,"org.eclipse.core.expressions",1272380189350
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100308-1800,"org.eclipse.core.filebuffers",1272380189350
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100304,"org.eclipse.core.filesystem",1272380189351
started,bundle,org.eclipse.core.jobs,3.5.0.v20100304,"org.eclipse.core.jobs",1272380189351
started,bundle,org.eclipse.core.net,1.2.100.I20091117-0800,"org.eclipse.core.net",1272380189351
started,bundle,org.eclipse.core.resources,3.6.0.v20100310-1650,"org.eclipse.core.resources",1272380189352
started,bundle,org.eclipse.core.runtime,3.6.0.v20091204,"org.eclipse.core.runtime",1272380189352
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1272380189353
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1272380189353
started,bundle,org.eclipse.core.variables,3.2.300.v20090911,"org.eclipse.core.variables",1272380189353
started,bundle,org.eclipse.debug.core,3.6.0.v20100308-1400,"org.eclipse.debug.core",1272380189354
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1272380189354
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1272380189614
started,bundle,org.eclipse.equinox.app,1.3.0.v20100304,"org.eclipse.equinox.app",1272380189615
started,bundle,org.eclipse.equinox.common,3.6.0.v20100222,"org.eclipse.equinox.common",1272380189615
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100301,"org.eclipse.equinox.ds",1272380189616
