what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1271074974046
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.commons.ui",1271074974046
started,bundle,org.eclipse.mylyn.context.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.core",1271074974047
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.ui",1271074974047
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.monitor.ui",1271074974048
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui",1271074974048
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.team.ui",1271074974049
started,bundle,org.eclipse.search,3.6.0.v20100308-1800,"org.eclipse.search",1271074974049
started,bundle,org.eclipse.team.core,3.5.100.I20100311-1214,"org.eclipse.team.core",1271074974050
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20100310-0800,"org.eclipse.team.cvs.core",1271074974050
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100311-1214,"org.eclipse.team.cvs.ui",1271074974051
started,bundle,org.eclipse.team.ui,3.5.100.I20100310-0800,"org.eclipse.team.ui",1271074974051
started,bundle,org.eclipse.ui,3.6.0.I20100311-1200,"org.eclipse.ui",1271074974052
started,bundle,org.eclipse.ui.console,3.5.0.v20100104,"org.eclipse.ui.console",1271074974052
started,bundle,org.eclipse.ui.editors,3.6.0.v20100308-1800,"org.eclipse.ui.editors",1271074974053
started,bundle,org.eclipse.ui.forms,3.5.0.v20100301,"org.eclipse.ui.forms",1271074974054
started,bundle,org.eclipse.ui.ide,3.6.0.I20100310-1300,"org.eclipse.ui.ide",1271074974055
started,bundle,org.eclipse.ui.intro,3.4.0.v20100301,"org.eclipse.ui.intro",1271074974055
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100118,"org.eclipse.ui.intro.universal",1271074974055
started,bundle,org.eclipse.ui.net,1.2.100.I20100216-0800,"org.eclipse.ui.net",1271074974055
started,bundle,org.eclipse.ui.views,3.5.0.I20090914-0830,"org.eclipse.ui.views",1271074974056
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"org.eclipse.ui.workbench",1271074974056
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100308-1800,"org.eclipse.ui.workbench.texteditor",1271074974057
started,bundle,org.eclipse.update.configurator,3.3.100.v20100307,"org.eclipse.update.configurator",1271074974058
started,bundle,org.eclipse.update.core,3.2.400.v20100303,"org.eclipse.update.core",1271074974058
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1271074974059
os,sysinfo,,,"win32",1271074974061
arch,sysinfo,,,"x86_64",1271074974061
ws,sysinfo,,,"win32",1271074974061
locale,sysinfo,,,"de_DE",1271074974061
processors,sysinfo,,,"2",1271074974061
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271074974061
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271074974061
java.specification.name,sysinfo,,,"Java Platform API Specification",1271074974061
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271074974061
java.specification.version,sysinfo,,,"1.6",1271074974061
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271074974061
java.version,sysinfo,,,"1.6.0_18",1271074974061
java.vm.info,sysinfo,,,"mixed mode",1271074974061
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1271074974061
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271074974061
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271074974061
java.vm.specification.version,sysinfo,,,"1.0",1271074974061
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271074974061
java.vm.version,sysinfo,,,"16.0-b13",1271074974061
activated,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.PackageExplorer",1271074990546
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100111,"org.eclipse.ui.cheatsheets",1271074990584
started,bundle,org.eclipse.help.base,3.5.0.v201003121448,"org.eclipse.help.base",1271074990620
started,bundle,org.eclipse.help.ui,3.5.0.v20100305,"org.eclipse.help.ui",1271074990634
activated,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.PackageExplorer",1271075003006
closed,view,org.eclipse.ui,3.6.0.I20100311-1200,"org.eclipse.ui.internal.introview",1271075003034
activated,view,org.eclipse.ui.ide,3.6.0.I20100310-1300,"org.eclipse.ui.views.ProblemView",1271075016306
closed,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.PackageExplorer",1271075016313
opened,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.JavadocView",1271075017855
activated,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.JavadocView",1271075017867
closed,view,org.eclipse.ui.ide,3.6.0.I20100310-1300,"org.eclipse.ui.views.ProblemView",1271075017868
opened,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.SourceView",1271075018694
activated,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.SourceView",1271075018946
closed,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.JavadocView",1271075018947
activated,view,org.eclipse.ui.views,3.5.0.I20090914-0830,"org.eclipse.ui.views.ContentOutline",1271075019913
closed,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.SourceView",1271075019925
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1271075021191
closed,view,org.eclipse.ui.views,3.5.0.I20090914-0830,"org.eclipse.ui.views.ContentOutline",1271075021198
closed,view,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1271075022117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075025470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075026876
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075028967
executed,command,org.eclipse.ui,3.6.0.I20100311-1200,"org.eclipse.ui.file.restartWorkbench",1271075029216
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.ide.ant",1271075029269
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20091130,"org.eclipse.ant.ui",1271075029270
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20091204,"org.eclipse.ant.launching",1271075029271
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1271075029271
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.0.201003161824,"org.eclipse.epp.mpc.ui",1271075029272
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100304,"org.eclipse.equinox.p2.ui.sdk",1271075029272
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100309-0005,"org.eclipse.equinox.p2.ui.sdk.scheduler",1271075029272
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100309-2115,"org.eclipse.equinox.p2.ui",1271075029273
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.java.tasks",1271075029273
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.java.ui",1271075029274
